{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.6039 -0.0187  0.5000
  -4.889 -4.716  5  10  121    0.6445 -0.0769  0.5000
  -4.716 -4.538  5  10  145    0.7278  0.0195  0.5000
  -4.538 -4.363  5  10  173    0.7405 -0.0525  0.5000
  -4.363 -4.191  5  10  205    0.7373 -0.1120  0.5000
  -4.191 -4.013  5  10  245    0.7872 -0.0639  0.4857
  -4.013 -3.839  5  10  292    0.8144 -0.0635  0.5000
  -3.839 -3.664  5  10  348    0.8640 -0.0710  0.5000
  -3.664 -3.489  5  10  414    0.9091 -0.0481  0.5000
  -3.489 -3.314  5  10  493    0.9551 -0.0294  0.5000
  -3.314 -3.139  5  10  588    0.9499 -0.0130  0.5000
  -3.139 -2.964  5  10  700    0.8293  0.1035  0.5000
  -2.964 -2.853  5  10  781    0.7787  0.0597 -0.4910
  -2.853 -2.650  5  10  956    0.7092  0.1303  0.1298
  -2.650 -2.500  5  10 1108    0.8247  0.0334 -0.5000
  -2.500 -2.322  5  10 1321    0.8746  0.0801  0.1278
  -2.322 -2.172  5  10 1529    0.9688  0.0134 -0.2075
  -2.172 -2.043  5  10 1733    0.9579  0.0200 -0.0544
  -2.043 -1.930  5  10 1933    0.9612  0.0277 -0.0274
  -1.930 -1.830  5  10 2126    0.9703  0.0377 -0.0601
  -1.830 -1.740  5  10 2315    0.9820  0.0289 -0.1293
  -1.740 -1.653  5  10 2511    0.9761  0.0380 -0.1036
  -1.653 -1.566  5  10 2721    0.9759  0.0418 -0.0707
  -1.566 -1.479  5  10 2946    0.9756  0.0099 -0.1044
  -1.479 -1.392  5  10 3183    1.0253 -0.0591 -0.3538
  -1.392 -1.305  5  10 3435    1.0187 -0.0338 -0.2007
  -1.305 -1.218  5  10 3699    1.0124 -0.0146 -0.1194
  -1.218 -1.131  5  10 3974    0.9988 -0.0060 -0.0431
  -1.131 -1.044  5  10 4259    0.9933 -0.0074 -0.0225
  -1.044 -0.957  5  10 4551    0.9972 -0.0017 -0.0134
  -0.957 -0.879  5  10 4816    0.9987 -0.0019 -0.0063
  -0.879 -0.783  5  10 5141    0.9994 -0.0005 -0.0047
  -0.783 -0.696  5  10 5430    1.0018  0.0009  0.0082
  -0.696 -0.609  5  10 5708    1.0073 -0.0039 -0.0147
  -0.609 -0.522  5  10 5968    1.0048 -0.0052 -0.0083
  -0.522 -0.435  5  10 6203    1.0006 -0.0018 -0.0012
  -0.435 -0.348  5  10 6408    0.9962 -0.0001  0.0274
  -0.348 -0.261  5  10 6574    1.0024  0.0016  0.0163
  -0.261 -0.174  5  10 6698    1.0045  0.0052  0.0074
  -0.174 -0.087  5  10 6774    0.9937  0.0157  0.0652
  -0.087 -0.000  5  10 6800    0.9948  0.0042  0.0380
  +0.000 +0.087  5  10 6800    0.9948  0.0042  0.0380
  +0.087 +0.174  5  10 6774    0.9937  0.0157  0.0652
  +0.174 +0.261  5  10 6698    1.0045  0.0052  0.0074
  +0.261 +0.348  5  10 6574    1.0024  0.0016  0.0163
  +0.348 +0.435  5  10 6408    0.9962 -0.0001  0.0274
  +0.435 +0.522  5  10 6203    1.0006 -0.0018 -0.0012
  +0.522 +0.609  5  10 5968    1.0048 -0.0052 -0.0083
  +0.609 +0.696  5  10 5708    1.0073 -0.0039 -0.0147
  +0.696 +0.783  5  10 5430    1.0018  0.0009  0.0082
  +0.783 +0.879  5  10 5141    0.9994 -0.0005 -0.0047
  +0.879 +0.957  5  10 4816    0.9987 -0.0019 -0.0063
  +0.957 +1.044  5  10 4551    0.9972 -0.0017 -0.0134
  +1.044 +1.131  5  10 4259    0.9933 -0.0074 -0.0225
  +1.131 +1.218  5  10 3974    0.9988 -0.0060 -0.0431
  +1.218 +1.305  5  10 3699    1.0124 -0.0146 -0.1194
  +1.305 +1.392  5  10 3435    1.0187 -0.0338 -0.2007
  +1.392 +1.479  5  10 3183    1.0253 -0.0591 -0.3538
  +1.479 +1.566  5  10 2946    0.9756  0.0099 -0.1044
  +1.566 +1.653  5  10 2721    0.9759  0.0418 -0.0707
  +1.653 +1.740  5  10 2511    0.9761  0.0380 -0.1036
  +1.740 +1.830  5  10 2315    0.9820  0.0289 -0.1293
  +1.830 +1.930  5  10 2126    0.9703  0.0377 -0.0601
  +1.930 +2.043  5  10 1933    0.9612  0.0277 -0.0274
  +2.043 +2.172  5  10 1733    0.9579  0.0200 -0.0544
  +2.172 +2.322  5  10 1529    0.9688  0.0134 -0.2075
  +2.322 +2.500  5  10 1321    0.8746  0.0801  0.1278
  +2.500 +2.650  5  10 1108    0.8247  0.0334 -0.5000
  +2.650 +2.853  5  10  956    0.7092  0.1303  0.1298
  +2.853 +2.964  5  10  781    0.7787  0.0597 -0.4910
  +2.964 +3.139  5  10  700    0.8293  0.1035  0.5000
  +3.139 +3.314  5  10  588    0.9499 -0.0130  0.5000
  +3.314 +3.489  5  10  493    0.9551 -0.0294  0.5000
  +3.489 +3.664  5  10  414    0.9091 -0.0481  0.5000
  +3.664 +3.839  5  10  348    0.8640 -0.0710  0.5000
  +3.839 +4.013  5  10  292    0.8144 -0.0635  0.5000
  +4.013 +4.191  5  10  245    0.7872 -0.0639  0.4857
  +4.191 +4.363  5  10  205    0.7373 -0.1120  0.5000
  +4.363 +4.538  5  10  173    0.7405 -0.0525  0.5000
  +4.538 +4.716  5  10  145    0.7278  0.0195  0.5000
  +4.716 +4.889  5  10  121    0.6445 -0.0769  0.5000
  +4.889 +5.191  5  10  102    0.6039 -0.0187  0.5000
