#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380056:9568,04/27/24 18:55:05,168,168,0.038948617,0.037457802
380066:9569,04/27/24 22:17:19,552,552,0.231329437,0.220076174
380074:9570,04/28/24 06:24:04,1307,1307,0.510732334,0.488836004
380115:9573,04/29/24 09:42:28,1792,1792,0.662936570,0.637059154
380126:9574,04/29/24 23:29:59,953,953,0.425944594,0.398438374
380127:9574,04/30/24 05:43:19,536,536,0.183662232,0.177429061
380128:9574,04/30/24 09:15:03,387,387,0.107354045,0.104621949
380195:9575,04/30/24 22:56:49,170,170,0.071575948,0.042861350
380196:9575,05/01/24 00:05:16,6,6,0.002893301,0.002144590
380197:9575,05/01/24 00:09:50,357,357,0.171579560,0.162289516
380235:9579,05/01/24 17:29:48,257,257,0.107251241,0.100090507
380236:9579,05/01/24 19:12:09,78,78,0.037428307,0.030599066
380237:9579,05/01/24 19:44:57,39,39,0.018813002,0.016814233
380238:9579,05/01/24 20:02:54,35,35,0.016771787,0.015452141
380306:9585,05/02/24 19:54:33,246,246,0.103374844,0.095691192
380307:9585,05/02/24 21:33:27,21,21,0.010057462,0.008617354
380308:9585,05/02/24 21:44:37,35,35,0.016818357,0.014110894
380309:9585,05/02/24 22:01:22,351,351,0.168256628,0.156540485
380310:9585,05/03/24 00:19:19,1131,1131,0.399579668,0.386098864
380346:9593,05/03/24 16:31:34,581,581,0.260050836,0.237917258
380348:9593,05/03/24 20:21:14,347,346,0.145744650,0.136134409
380349:9593,05/03/24 22:39:03,695,695,0.221464212,0.214653658
380360:9594,05/04/24 06:56:16,1941,1941,0.716099443,0.689307720
380377:9602,05/04/24 23:50:36,416,416,0.187999131,0.177767596
380384:9603,05/05/24 06:57:47,759,759,0.346922179,0.325147853
380385:9603,05/05/24 11:54:10,1247,1247,0.413084439,0.398777569
380399:9604,05/05/24 23:17:17,519,519,0.229422159,0.217785400
380400:9604,05/06/24 02:40:48,71,71,0.034031720,0.031825946
380401:9604,05/06/24 03:11:16,10,10,0.002559811,0.001931263
380403:9604,05/06/24 03:18:17,259,259,0.114941130,0.109398141
380444:9605,05/06/24 15:21:13,326,326,0.151516556,0.140464976
380446:9605,05/06/24 17:33:05,1038,1038,0.432556656,0.411517062
380447:9605,05/07/24 00:20:04,810,810,0.217344080,0.212308711
380466:9606,05/07/24 09:21:16,540,540,0.245386029,0.218348536
380470:9606,05/07/24 13:06:34,1634,1634,0.547146213,0.530609771
380481:9608,05/08/24 05:37:58,860,860,0.392413229,0.370216749
380513:9609,05/08/24 20:35:34,1159,1159,0.510067786,0.484174126
380514:9609,05/09/24 04:08:53,1,1,0.000364060,0.000000052
380515:9609,05/09/24 04:12:01,4,4,0.001451475,0.000008221
380516:9609,05/09/24 04:16:16,4,4,0.001443766,0.000470913
380517:9609,05/09/24 04:20:58,39,39,0.013859417,0.013120192
380531:9610,05/09/24 07:02:24,1035,1034,0.463293093,0.431684709
380532:9610,05/09/24 13:46:15,13,13,0.004941557,0.001567484
380533:9610,05/09/24 13:53:34,2,2,0.000754474,0.000002135
380534:9610,05/09/24 13:56:20,772,772,0.243194657,0.235996913
380535:9610,05/09/24 18:59:18,7,7,0.001841349,0.000000376
380537:9610,05/09/24 19:09:12,66,66,0.016987247,0.014536518
380538:9610,05/09/24 19:36:56,144,144,0.033875438,0.033179485
380564:9611,05/09/24 23:47:54,750,750,0.344318709,0.322293498
380565:9611,05/10/24 04:42:10,6,6,0.002607031,0.000000384
380567:9611,05/10/24 04:54:23,1081,1081,0.356228523,0.346110926
380623:9614,05/11/24 20:40:52,395,395,0.174821373,0.163937442
380624:9614,05/11/24 23:16:57,812,812,0.345605612,0.328358033
380625:9614,05/12/24 04:34:00,10,10,0.003430088,0.002393841
380626:9614,05/12/24 04:39:38,20,19,0.006790222,0.004820870
380627:9614,05/12/24 04:48:42,808,808,0.228165637,0.222938241
380647:9618,05/12/24 22:28:59,376,376,0.171741311,0.155440223
380648:9618,05/13/24 00:58:13,20,20,0.009876950,0.008576531
380649:9618,05/13/24 01:56:15,401,401,0.176386619,0.166410570
380883:9643,05/18/24 10:27:56,4,4,0.000000392,0.000000282
380933:9651,05/19/24 16:19:32,789,789,0.012607239,0.012429980
380945:9653,05/20/24 06:39:34,246,246,0.106551755,0.100458748
380947:9653,05/20/24 11:38:48,823,823,0.278858374,0.270468372
380963:9654,05/20/24 20:42:43,922,922,0.392892106,0.374724085
381022:9659,05/21/24 23:53:15,586,586,0.225513397,0.213253015
381053:9661,05/22/24 09:14:55,108,108,0.035731871,0.034158952
381065:9662,05/22/24 12:16:48,791,791,0.370495051,0.346850317
381067:9662,05/22/24 17:33:10,346,346,0.143364340,0.134004182
381068:9662,05/22/24 19:51:42,46,46,0.017158931,0.015359753
381069:9662,05/22/24 20:20:01,307,307,0.104142033,0.098847953
381070:9662,05/22/24 22:21:18,425,425,0.122234840,0.119540278
381075:9663,05/23/24 03:44:43,426,426,0.194283599,0.183117039
381076:9663,05/23/24 06:47:23,1,1,0.000477844,0
381078:9663,05/23/24 06:53:58,335,335,0.152868361,0.142835019
381079:9663,05/23/24 09:06:56,398,398,0.147749747,0.140853040
381080:9663,05/23/24 11:44:25,337,337,0.104178466,0.099875855
381113:9664,05/23/24 18:23:22,265,263,0.112407340,0.097650194
381114:9664,05/23/24 20:11:09,459,459,0.222471171,0.207625498
381115:9664,05/23/24 23:12:31,1308,1308,0.433994758,0.420286775
381147:9666,05/24/24 11:18:30,197,197,0.084876778,0.074721114
381148:9666,05/24/24 12:38:03,282,282,0.139836174,0.127631009
381149:9666,05/24/24 14:31:14,133,133,0.065816810,0.061366554
381150:9666,05/24/24 15:25:36,42,41,0.020215653,0.018476291
381151:9666,05/24/24 15:45:17,852,852,0.322445754,0.307000909
381152:9666,05/24/24 21:19:14,193,193,0.055548035,0.053818776
381164:9667,05/25/24 00:51:30,1151,1151,0.547360536,0.511836759
381190:9670,05/25/24 13:16:43,1098,1098,0.515153775,0.482200539
381191:9670,05/25/24 20:25:58,1121,1121,0.350459375,0.339876059
381199:9672,05/26/24 09:25:18,147,147,0.059611914,0.055346207
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#66,169,68959,68951,22.178367762,21.003380487
#Check JSON:
#(run,ls) in json but not in results: [(379243, 336), (379243, 337), (379774, 150), (379774, 186), (379774, 187), (379774, 188), (379774, 189), (379774, 190), (379774, 191), (379774, 192), (379774, 193), (379774, 194), (379774, 195), (379774, 196), (379774, 197), (379774, 198), (379774, 199), (379774, 200), (379774, 201), (379774, 202), (379774, 203), (379774, 204), (379774, 205), (379774, 206), (379774, 207), (379774, 208), (379774, 209), (379774, 210), (379774, 211), (379774, 212), (379774, 213), (379866, 1363), (379866, 1364), (379866, 1365), (379866, 1366), (379866, 1367), (379866, 1368), (379866, 1369), (379866, 1370), (379866, 1371), (379866, 1372), (379866, 1373), (379866, 1374), (379866, 1375), (380377, 452), (380377, 453), (380377, 454), (380377, 455), (381113, 142), (381113, 178), (381113, 213), (381113, 214), (381113, 215), (381113, 216), (381113, 217), (381113, 218), (381199, 183), (381199, 184), (381199, 185)]
