#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380647:9618,05/12/24 22:28:59,375,375,0.171245556,0.155440223
380649:9618,05/13/24 01:56:15,401,401,0.176386619,0.166410570
380933:9651,05/19/24 16:19:32,773,773,0.012171319,0.012031555
380945:9653,05/20/24 06:39:34,245,245,0.106117383,0.100132466
380947:9653,05/20/24 11:38:48,823,823,0.278858374,0.270468372
380963:9654,05/20/24 20:42:43,922,922,0.392892106,0.374724085
381022:9659,05/21/24 23:53:15,586,586,0.225513397,0.213253015
381053:9661,05/22/24 09:14:55,108,108,0.035731871,0.034158952
381065:9662,05/22/24 12:16:48,791,791,0.370495051,0.346850317
381067:9662,05/22/24 17:33:10,313,313,0.130747816,0.125623325
381069:9662,05/22/24 20:20:01,307,307,0.104142033,0.098847953
381070:9662,05/22/24 22:21:18,425,425,0.122234840,0.119540278
381075:9663,05/23/24 03:44:43,426,426,0.194283599,0.183117039
381078:9663,05/23/24 06:53:58,334,334,0.152372784,0.142363607
381079:9663,05/23/24 09:06:56,396,396,0.146928298,0.140055742
381080:9663,05/23/24 11:44:25,336,336,0.103883359,0.099586016
381113:9664,05/23/24 18:23:22,238,236,0.099268074,0.093104520
381114:9664,05/23/24 20:11:09,458,458,0.222012675,0.207625498
381115:9664,05/23/24 23:12:31,1294,1294,0.430260530,0.416615307
381147:9666,05/24/24 11:18:30,186,186,0.079449771,0.074394361
381148:9666,05/24/24 12:38:03,264,264,0.130907402,0.122407251
381149:9666,05/24/24 14:31:14,133,133,0.065816810,0.061366554
381150:9666,05/24/24 15:25:36,42,41,0.020215653,0.018476291
381151:9666,05/24/24 15:45:17,851,851,0.322144651,0.307000909
381152:9666,05/24/24 21:19:14,193,193,0.055548035,0.053818776
381164:9667,05/25/24 00:51:30,1151,1151,0.547360536,0.511836759
381190:9670,05/25/24 13:16:43,1098,1098,0.515153775,0.482200539
381191:9670,05/25/24 20:25:58,1121,1121,0.350459375,0.339876059
381199:9672,05/26/24 09:25:18,147,147,0.059611914,0.055346207
381212:9674,05/27/24 04:02:15,372,372,0.174550781,0.163659456
381286:9677,05/27/24 16:09:15,711,711,0.340340372,0.314583713
381309:9680,05/28/24 06:47:14,425,425,0.200817056,0.188728860
381358:9683,05/28/24 18:58:02,3,3,0.000643626,0.000415712
381364:9684,05/28/24 21:34:05,427,427,0.188112122,0.174122689
381365:9684,05/29/24 00:22:44,595,595,0.272033582,0.254553170
381371:9686,05/29/24 06:46:06,194,194,0.079067495,0.074841798
381379:9687,05/29/24 10:50:00,833,833,0.375681797,0.350256720
381380:9687,05/29/24 16:17:33,1354,1354,0.411028483,0.398054756
381384:9691,05/30/24 05:24:04,3482,3482,1.047221482,1.003787456
381417:9694,05/31/24 13:50:23,1783,1783,0.713175274,0.675480123
381443:9696,06/01/24 12:16:15,1509,1509,0.620745427,0.586990570
381477:9700,06/02/24 11:50:04,278,278,0.116848056,0.110054056
381479:9700,06/02/24 13:58:03,434,434,0.204506345,0.191928178
381480:9700,06/02/24 16:48:38,1268,1268,0.419252800,0.403419859
381484:9701,06/03/24 03:15:04,820,820,0.374197822,0.349857923
381499:9705,06/03/24 16:18:24,196,195,0.079130379,0.073387409
381500:9705,06/03/24 17:37:39,92,92,0.043432232,0.039487099
381515:9707,06/03/24 22:01:00,514,514,0.232288459,0.213976170
381516:9707,06/04/24 01:22:52,1672,1672,0.584339103,0.556018932
381543:9708,06/04/24 14:37:55,512,512,0.235680767,0.221300757
381544:9708,06/04/24 18:12:43,1970,1970,0.638596906,0.614677121
382229:9806,06/20/24 09:39:20,313,313,0.024007655,0.022672888
382250:9808,06/20/24 16:24:45,890,890,0.224883008,0.215273487
382255:9810,06/21/24 04:47:31,97,97,0.030850857,0.028331708
382256:9810,06/21/24 05:26:51,67,67,0.031184297,0.027662214
382257:9810,06/21/24 06:11:04,70,70,0.032581589,0.029028351
382258:9810,06/21/24 06:41:16,1148,1147,0.500485878,0.479565830
382262:9810,06/21/24 14:31:56,253,253,0.079529427,0.076707488
382298:9812,06/21/24 19:39:36,53,53,0.014820672,0.014372869
382299:9812,06/21/24 20:38:10,808,808,0.385785595,0.356406154
382300:9812,06/22/24 01:55:26,1186,1186,0.383866479,0.371889146
382313:9813,06/22/24 11:50:52,389,389,0.174770704,0.166394989
382314:9813,06/22/24 14:26:00,295,295,0.141772079,0.134389799
382328:9816,06/22/24 22:38:19,90,90,0.034046955,0.031070625
382329:9816,06/22/24 23:16:37,150,150,0.072058689,0.067791210
382343:9819,06/23/24 13:01:16,2208,2208,0.987456472,0.930640337
382344:9819,06/24/24 03:22:08,360,360,0.130986454,0.125039448
382504:9832,06/27/24 14:22:09,361,361,0.159480131,0.150243840
382568:9838,06/28/24 23:55:16,399,399,0.182061250,0.171521981
382580:9840,06/29/24 07:43:51,1712,1712,0.722859910,0.688950001
382594:9842,06/30/24 02:29:05,1406,1406,0.626659567,0.596593097
382595:9842,06/30/24 11:37:12,854,854,0.259034637,0.251079289
382617:9843,06/30/24 19:33:03,701,701,0.308269483,0.294167045
382626:9846,07/01/24 07:24:48,359,359,0.162561953,0.153276882
382649:9848,07/01/24 14:36:50,483,483,0.219845591,0.200751120
382650:9848,07/01/24 17:47:17,235,235,0.114926395,0.109003216
382654:9849,07/01/24 21:54:58,1642,1642,0.752001077,0.707788478
382655:9849,07/02/24 08:36:08,394,394,0.128324242,0.123693703
382656:9849,07/02/24 11:12:31,294,294,0.080206075,0.077267524
382679:9851,07/02/24 21:51:44,71,71,0.020886011,0.020366592
382684:9852,07/03/24 00:51:55,1164,1164,0.550589866,0.515492096
382685:9852,07/03/24 08:26:33,492,491,0.185097544,0.177555815
382686:9852,07/03/24 11:40:25,141,141,0.044316144,0.042991086
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#96,174,104219,104211,36.746880869,34.922329461
#Check JSON:
#(run,ls) in json but not in results: [(379238, 297), (379243, 336), (379243, 337), (379774, 150), (379774, 186), (379774, 187), (379774, 188), (379774, 189), (379774, 190), (379774, 191), (379774, 192), (379774, 193), (379774, 194), (379774, 195), (379774, 196), (379774, 197), (379774, 198), (379774, 199), (379774, 200), (379774, 201), (379774, 202), (379774, 203), (379774, 204), (379774, 205), (379774, 206), (379774, 207), (379774, 208), (379774, 209), (379774, 210), (379774, 211), (379774, 212), (379774, 213), (379866, 1363), (379866, 1364), (379866, 1365), (379866, 1366), (379866, 1367), (379866, 1368), (379866, 1369), (379866, 1370), (379866, 1371), (379866, 1372), (379866, 1373), (379866, 1374), (379866, 1375), (380377, 452), (380377, 453), (380377, 454), (380377, 455), (381113, 142), (381113, 178), (381113, 213), (381113, 214), (381113, 215), (381113, 216), (381113, 217), (381113, 218), (381199, 183), (381199, 184), (381199, 185), (381309, 457), (381417, 1818), (381417, 1819), (381417, 1820), (381417, 1821), (381417, 1822), (381417, 1823), (381417, 1824), (381443, 1543), (381443, 1544), (381443, 1545), (381443, 1546), (381443, 1547), (381443, 1548), (381443, 1549), (381443, 1550), (381443, 1551), (381443, 1552), (381443, 1553), (381443, 1554), (381443, 1555), (381443, 1556), (381443, 1557), (381443, 1558), (381443, 1559), (381443, 1560), (381443, 1561), (381443, 1562), (381443, 1563), (381443, 1564), (381443, 1565), (381443, 1566), (381443, 1567), (381443, 1568), (381443, 1569), (381443, 1570), (381443, 1571), (382568, 429), (382568, 430), (382568, 431), (382568, 432), (382568, 433), (382568, 434), (382568, 435), (382568, 436), (382568, 437)]
